EAN Code,Style Code,Style Name,Colour code,Colour Description,Eye size,Bridge Size,is Polarized,Photochromic,Lens Code,Lens Description,Lens Base Desc,Informative Note of the Lens,Temple Length,Product Category Descr,RX able INT,Type of User Description,Main Material Descrip,Temple Material Desc#,Eye Shape descr, Weight,Hinge type descr,Brand Code,Brand Code Descr,Collection Code,Collection code Descr,Prod#Type Descr#,Item Start Date,MO/CO,Main Case,Currency Code, Wholesale Price ,Retail Price
0716736962160,106786,7A 107,1ED,GREEN,49,21,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,PANTOS,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736962177,106786,7A 107,C9A,RED,49,21,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,PANTOS,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736962221,106801,7A 108,1ED,GREEN,55,18,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,RECTANGULAR,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736962238,106801,7A 108,1ED,GREEN,57,18,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,RECTANGULAR,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736962245,106801,7A 108,KB7,GREY,55,18,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,RECTANGULAR,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736962252,106801,7A 108,KB7,GREY,57,18,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,ACETATE,ACETATE,RECTANGULAR,"  0,0300 ",FLEX REPAIRABLE,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,CO,803983,EUR,"  39,00 ",105
0716736960302,107893,7A 114,003,MATTE BLACK,53,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
0716736960319,107893,7A 114,003,MATTE BLACK,55,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
0716736960326,107893,7A 114,09Q,BROWN,53,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
0716736960333,107893,7A 114,09Q,BROWN,55,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
0716736960340,107893,7A 114,KJ1,DARK RUTHENIUM,53,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
0716736960357,107893,7A 114,KJ1,DARK RUTHENIUM,55,19,No,No,,,BASE 4 SPHERICAL,,145,VISTA,X,MAN,BETA-TITANIUM,BETA-TITANIUM,RECTANGULAR,"  0,0300 ",NO FLEX,7S,SEVENTH STREET,7ST,SEVENTH STREET,OPTICAL FRAMES,2024-01,MO,887122,EUR,"  59,50 ",160
